"PAREDINT","BOOKSHOME","TECH","READ_AVG"
16,4,0.5383,561.2589
12,4,0.2028,477.7687
16,4,0.8142,744.3301
14.5,3,0.5327,385.2181
16,6,0.232,701.9118
16,4,1.3547,406.0931
9,3,0.7863,458.3109
14.5,4,-0.3404,434.4324
9,2,-0.3003,513.9484
16,4,0.6816,459.1209
14.5,3,0.1597,531.8537
16,4,0.5439,493.3098
9,2,-0.5198,467.3373
16,3,-0.7654,498.9671
16,4,-0.6045,291.7632
12,4,0.9688,487.5315
16,3,0.9686,492.8986
16,1,0.1891,476.4948
16,4,-0.1622,650.818
12,4,-0.1527,526.8387
12,4,-0.102,678.1094
16,4,0.318,720.9986
16,4,1.5906,525.0789
16,7,5.1744,480.1081
12,3,1.0409,528.2108
12,4,2.7358,321.8633
12,4,-0.3003,476.7196
16,3,0.9968,483.0006
14.5,4,-0.3302,687.1265
16,4,0.7159,650.3856
12,3,0.2412,563.6011
16,2,1.4098,323.1395
16,4,0.8511,605.9922
12,2,1.0229,517.2104
12,3,0.1891,485.2142
6,1,-1.6413,400.9491
12,3,-0.0998,405.9867
16,6,-0.6785,439.3675
16,7,0.7159,545.376
9,2,-0.4482,460.3732
12,6,-0.132,474.0155
12,3,1.247,391.5792
16,4,1.1343,521.7295
16,2,-0.9079,526.2126
16,1,-0.0287,591.9331
16,4,1.4757,401.782
12,2,-0.0136,527.6003
12,4,-0.3295,439.8502
16,4,1.002,673.5577
16,4,0.1592,560.0462
9,3,2.4238,269.5635
16,3,0.4042,491.9322
16,4,-0.1177,555.0095
12,3,0.8693,496.6285
16,3,-0.651,747.3432
16,6,1.4983,395.7886
9,4,-0.8321,477.2379
12,4,0.1106,645.187
16,4,2.4008,393.3351
16,4,-0.3588,527.5267
16,6,-0.0877,692.9363
16,1,2.1042,547.9845
16,2,0.2546,396.5411
16,3,-0.6709,481.5058
12,4,-1.0243,558.1423
16,3,1.5532,516.53
12,3,0.4207,592.972
16,4,-0.8421,319.9977
16,4,1.5532,394.5783
12,2,-1.5024,497.3602
16,3,2.4675,316.7451
16,4,0.7159,566.504
9,2,-0.0826,443.4708
16,4,0.9841,492.8445
12,4,-0.2027,436.0588
16,2,1.0738,450.3161
14.5,4,0.3311,503.5168
16,2,0.4003,486.744
12,3,0.2473,704.6496
16,4,-0.3391,602.0846
16,2,-1.3707,385.2222
16,3,0.0655,683.6766
12,2,-0.8421,444.1559
14.5,7,0.0135,425.4371
16,6,0.034,753.6451
16,3,-0.3278,547.5239
16,6,1.2943,525.2734
12,3,-0.651,653.9632
16,4,1.7864,616.9242
12,4,1.7774,536.8767
16,2,-0.102,378.4242
12,3,-0.618,560.9755
12,4,-1.9018,373.6951
14.5,2,0.0811,559.3446
12,3,0.0495,588.6491
3,1,-0.626,445.2824
3,4,0.5166,434.9661
12,4,0.9417,517.6036
16,3,-0.6172,426.1159
6,1,-1.2421,267.7813
16,2,-0.1622,434.4616
14.5,6,0.0828,541.9663
16,3,-1.0164,394.4616
12,3,0.2473,456.0326
12,2,1.2264,443.1344
16,4,0.4484,588.5762
16,3,-1.0153,459.8897
16,2,-0.6723,383.9322
16,4,0.7597,593.3569
