"PAREDINT","BOOKSHOME","READ_AVG"
16,6,660.5553
16,2,373.3392
16,2,241.1554
9,3,568.4201
16,4,547.7457
14.5,2,568.2944
14.5,4,660.5043
12,2,564.4733
12,4,411.543
6,2,582.5551
16,7,505.8591
16,4,560.8923
12,4,545.9864
16,3,459.786
16,2,386.3082
6,NA,441.74
14.5,3,563.5159
16,2,362.2787
12,4,445.825
16,3,535.4152
9,2,458.2594
16,3,483.4405
16,6,581.3107
14.5,7,629.7686
12,1,292.59
12,6,576.3888
16,2,431.211
12,6,606.4264
14.5,NA,537.8038
12,2,422.1039
14.5,3,453.5156
16,NA,540.7402
16,3,466.9135
12,3,653.1973
16,2,538.7843
16,3,651.9197
12,2,397.9033
16,1,185.8032
16,4,656.8715
16,3,383.0467
16,1,268.7379
16,7,349.2913
12,3,392.4967
16,4,505.193
14.5,1,409.398
16,4,352.1044
12,4,447.2955
12,2,267.9278
16,NA,345.9532
16,NA,626.2786
12,2,407.841
16,NA,675.1185
14.5,1,483.1898
NA,4,503.1976
16,7,573.749
12,2,453.0108
12,3,540.2758
16,3,412.0773
16,7,518.3745
12,1,527.9469
14.5,4,674.3138
16,4,752.2281
12,3,511.1573
16,2,295.659
NA,NA,416.7433
16,4,603.383
16,3,590.1854
16,1,290.6818
12,2,531.1227
16,4,604.9771
16,2,417.8966
NA,NA,445.0935
16,2,373.5296
12,6,598.0499
12,4,429.2354
16,1,299.3473
6,3,552.9025
14.5,4,490.8117
16,NA,519.9496
14.5,3,537.2888
16,3,484.4534
9,2,525.861
14.5,6,499.1345
NA,NA,471.7326
14.5,4,662.9198
16,2,463.5516
14.5,3,593.693
16,6,531.3167
16,4,609.1329
16,3,597.2434
12,3,638.2887
16,4,454.6237
16,NA,564.6678
12,3,387.7415
16,NA,656.1866
14.5,6,499.7189
16,2,425.4511
12,2,635.2534
3,2,429.3001
16,7,551.0889
12,2,461.2738
16,2,663.3158
12,4,408.3641
12,2,432.0185
12,3,411.2696
16,4,433.3936
16,4,458.7366
16,NA,650.6258
16,1,440.1535
16,4,557.3543
12,3,589.7004
16,6,684.3684
16,3,479.6787
16,2,535.0485
16,NA,363.2355
16,4,462.7731
6,2,369.5347
16,6,605.3945
16,4,544.1152
12,3,613.2789
16,4,347.3743
12,2,413.8924
16,NA,408.6654
16,NA,510.7701
16,2,261.0802
16,7,565.4536
16,4,602.293
16,4,548.0034
16,4,645.6956
16,3,433.8121
9,3,355.5093
12,4,531.7781
16,2,292.158
12,6,575.9492
12,2,548.0226
9,1,325.499
NA,NA,548.8762
12,6,627.1493
12,1,546.308
NA,NA,659.5537
9,3,466.3814
12,4,504.0092
3,2,587.3537
16,4,584.4672
16,1,404.3286
16,2,424.2709
12,3,446.9543
12,1,432.913
NA,NA,691.7212
12,3,546.1856
12,1,332.3531
16,NA,572.8054
16,NA,546.5661
NA,NA,379.7284
16,6,604.0551
12,4,583.6079
16,2,484.0495
NA,NA,612.7308
16,4,462.9433
16,7,646.5383
9,3,518.9054
14.5,4,376.7079
14.5,4,467.2311
12,1,498.1835
12,2,564.493
16,4,500.4983
16,3,505.5357
14.5,1,409.8204
16,3,274.4074
16,4,579.5626
12,3,522.0708
12,4,645.7434
16,NA,587.727
16,6,565.1722
14.5,2,280.8264
12,1,491.7636
12,4,528.8148
14.5,6,589.3511
16,NA,656.2825
14.5,3,582.4767
14.5,4,555.6246
16,NA,582.2724
16,1,259.0598
12,4,549.6528
16,3,506.9146
16,2,460.7866
16,3,298.0504
16,4,375.2711
12,4,481.9273
9,2,468.293
12,3,511.0984
12,7,350.4274
16,4,675.495
14.5,NA,545.664
16,6,645.5635
12,4,464.389
NA,NA,437.1561
16,3,509.114
14.5,4,508.7785
12,2,423.3261
12,2,508.5965
12,4,428.1529
14.5,4,510.7598
12,3,475.918
16,1,322.2302
9,4,414.5783
16,4,597.1134
9,2,305.2803
12,1,226.4125
16,4,484.9334
12,NA,611.4548
NA,NA,519.1208
9,3,402.8269
12,4,484.6
16,4,418.652
NA,NA,469.6049
9,3,476.0129
16,NA,643.5128
NA,NA,543.326
16,4,480.5509
16,NA,563.1584
6,1,491.5029
16,3,373.8717
14.5,2,445.683
